student	vak	activiteit	zaal	dag	tijdslot
Grooteman nal	Heuristieken 2	Tutorial	A1.08	vr	11-13
Grooteman nal	Technology for games	Lecture	A1.04		
Grooteman nal	Technology for games	Lecture	A1.04		
Grooteman nal	Technology for games	Tutorial	A1.08	wo	9-11
Grootenboer Yalda	Algoritmen en complexiteit	Lecture	B0.201	ma	13-15
Grootenboer Yalda	Algoritmen en complexiteit	Tutorial	A1.06	ma	15-17
Grootenboer Yalda	Algoritmen en complexiteit	Lab	A1.06	di	9-11
Grootenboer Yalda	Compilerbouw	Lecture	C0.110	ma	11-13
Grootenboer Yalda	Compilerbouw	Lecture	C0.110	vr	13-15
Grootenboer Yalda	Compilerbouw	Tutorial	A1.04	ma	9-11
Grootenboer Yalda	Compilerbouw	Lab	A1.04		
Grootenboer Yalda	Project Numerical Recipes	Lab	A1.08	vr	11-13
Grootenboer Yalda	Webprogrammeren en databases	Lecture	A1.04		
Grootenboer Yalda	Webprogrammeren en databases	Lecture	A1.04		
Grootenboer Yalda	Webprogrammeren en databases	Tutorial	A1.08	wo	13-15
Grootenboer Yalda	Webprogrammeren en databases	Lab	A1.08	wo	15-17
Haalboom Faruk	Databases 2	Lecture	C0.110		
Haalboom Faruk	Databases 2	Tutorial	A1.04		
Haanstra Jetty	Calculus 2	Lecture	C0.110	vr	9-11
Haanstra Jetty	Calculus 2	Tutorial	A1.04	do	13-15
Haarman Gabe	Technology for games	Lecture	A1.04		
Haarman Gabe	Technology for games	Lecture	A1.04		
Haarman Gabe	Technology for games	Tutorial	A1.08	wo	9-11
Haas Eylem	Databases 2	Lecture	C0.110		
Haas Eylem	Databases 2	Tutorial	A1.04		
Haas Eylem	Informatie- en organisatieontwerp	Lecture	A1.06	vr	15-17
Haas Eylem	Informatie- en organisatieontwerp	Lecture	A1.06		
Haas Eylem	Informatie- en organisatieontwerp	Tutorial	A1.08	wo	15-17
Haas Eylem	Informatie- en organisatieontwerp	Lab	A1.08	do	11-13
Haas Eylem	Kansrekenen 2	Lecture	C0.110		
Haas Eylem	Kansrekenen 2	Lecture	C0.110		
Haas Eylem	Moderne Databases	Lecture	A1.10		
Haas Eylem	Moderne Databases	Tutorial	A1.08		
Haas Eylem	Moderne Databases	Lab	A1.08		
Haas Eylem	Programmeren in Java 2	Lab	A1.08		
Hamelink Virgill	Programmeren in Java 2	Lab	A1.08		
Hamelink Virgill	Software engineering	Lecture	C0.110		
Hamelink Virgill	Software engineering	Tutorial	A1.04		
Hamelink Virgill	Software engineering	Lab	A1.04		
Hamers Judi	Compilerbouw practicum	Lab	A1.08	wo	13-15
Hamers Judi	Technology for games	Lecture	A1.04		
Hamers Judi	Technology for games	Lecture	A1.04		
Hamers Judi	Technology for games	Tutorial	A1.08	wo	9-11
Hamhuis Olle	Compilerbouw practicum	Lab	A1.08	wo	13-15
Hamstra Sahar	Compilerbouw practicum	Lab	A1.08	wo	13-15
Hamstra Sahar	Heuristieken 1	Lecture	B0.201		
Hamstra Sahar	Heuristieken 1	Tutorial	A1.06	vr	13-15
Hamstra Sahar	Lineaire Algebra	Lecture	A1.10		
Hamstra Sahar	Lineaire Algebra	Lecture	A1.10		
Hartevelt Ervin	Reflectie op de digitale cultuur	Lecture	A1.10		
Hartevelt Ervin	Reflectie op de digitale cultuur	Lecture	A1.10		
Hartevelt Ervin	Reflectie op de digitale cultuur	Tutorial	A1.08	wo	11-13
Heijman Berdina	Kansrekenen 2	Lecture	C0.110		
Heijman Berdina	Kansrekenen 2	Lecture	C0.110		
Heijman Berdina	Netwerken en systeembeveiliging	Lab	A1.08	vr	9-11
Heijman Berdina	Project Genetic Algorithms	Lab	A1.08	wo	11-13
Heijnen Guus	Calculus 2	Lecture	C0.110	vr	9-11
Heijnen Guus	Calculus 2	Tutorial	A1.04	do	13-15
Heijnen Guus	Project Numerical Recipes	Lab	A1.08	vr	11-13
Heikoop Rosali	Netwerken en systeembeveiliging	Lab	A1.08	vr	9-11
Heikoop Rosali	Programmeren in Java 2	Lab	A1.08		
Heikoop Rosali	Software engineering	Lecture	C0.110		
Heikoop Rosali	Software engineering	Tutorial	A1.04		
Heikoop Rosali	Software engineering	Lab	A1.04		
Heller Mahmud	Data Mining	Lecture	A1.04		
Heller Mahmud	Data Mining	Lecture	A1.04		
Heller Mahmud	Data Mining	Tutorial	A1.08	do	13-15
Heller Mahmud	Data Mining	Lab	A1.08	vr	9-11
Heller Mahmud	Reflectie op de digitale cultuur	Lecture	A1.10		
Heller Mahmud	Reflectie op de digitale cultuur	Lecture	A1.10		
Heller Mahmud	Reflectie op de digitale cultuur	Tutorial	A1.08	wo	11-13
Hijdra Sergio	Calculus 2	Lecture	C0.110	vr	9-11
Hijdra Sergio	Calculus 2	Tutorial	A1.04	do	13-15
Hijdra Sergio	Interactie-ontwerp	Lecture	A1.04	di	15-17
Hijdra Sergio	Interactie-ontwerp	Lecture	A1.04	di	11-13
Hilhorst Bo	Autonomous Agents 2	Lecture	A1.06	di	15-17
Hilhorst Bo	Autonomous Agents 2	Lecture	A1.06	wo	9-11
Hilhorst Bo	Autonomous Agents 2	Tutorial	A1.08	di	11-13
Hilhorst Bo	Autonomous Agents 2	Lab	A1.08	di	13-15
Hilhorst Bo	Lineaire Algebra	Lecture	A1.10		
Hilhorst Bo	Lineaire Algebra	Lecture	A1.10		
Hoeksema Dana	Architectuur en computerorganisatie	Lecture	A1.06	di	11-13
Hoeksema Dana	Architectuur en computerorganisatie	Lecture	A1.06	di	13-15
Hoeksema Dana	Compilerbouw	Lecture	C0.110	ma	11-13
Hoeksema Dana	Compilerbouw	Lecture	C0.110	vr	13-15
Hoeksema Dana	Compilerbouw	Tutorial	A1.04	ma	9-11
Hoeksema Dana	Compilerbouw	Lab	A1.04		
Hoeksema Dana	Machine Learning	Lecture	A1.06		
Hoeksema Dana	Machine Learning	Lecture	A1.06		
Hoenderdos Sverre	Analysemethoden en -technieken	Lecture	A1.10	ma	13-15
Hofman Anne-Jet	Webprogrammeren en databases	Lecture	A1.04		
Hofman Anne-Jet	Webprogrammeren en databases	Lecture	A1.04		
Hofman Anne-Jet	Webprogrammeren en databases	Tutorial	A1.08	wo	13-15
Hofman Anne-Jet	Webprogrammeren en databases	Lab	A1.08	wo	15-17
Holstein Johanne	Compilerbouw practicum	Lab	A1.08	wo	13-15
Holstein Johanne	Netwerken en systeembeveiliging	Lab	A1.08	vr	9-11
Holt Nesrin	Databases 2	Lecture	C0.110		
Holt Nesrin	Databases 2	Tutorial	A1.04		
Holt Nesrin	Project Genetic Algorithms	Lab	A1.08	wo	11-13
Holtkamp Florus	Analysemethoden en -technieken	Lecture	A1.10	ma	13-15
Holtkamp Florus	Programmeren in Java 2	Lab	A1.08		
Hoogerbrugge Christal	Architectuur en computerorganisatie	Lecture	A1.06	di	11-13
Hoogerbrugge Christal	Architectuur en computerorganisatie	Lecture	A1.06	di	13-15
Hoogerbrugge Christal	Software engineering	Lecture	C0.110		
Hoogerbrugge Christal	Software engineering	Tutorial	A1.04		
Hoogerbrugge Christal	Software engineering	Lab	A1.04		
Hoogerbrugge Christal	Webprogrammeren en databases	Lecture	A1.04		
Hoogerbrugge Christal	Webprogrammeren en databases	Lecture	A1.04		
Hoogerbrugge Christal	Webprogrammeren en databases	Tutorial	A1.08	wo	13-15
Hoogerbrugge Christal	Webprogrammeren en databases	Lab	A1.08	wo	15-17
Hooijmaijers Esme	Autonomous Agents 2	Lecture	A1.06	di	15-17
Hooijmaijers Esme	Autonomous Agents 2	Lecture	A1.06	wo	9-11
Hooijmaijers Esme	Autonomous Agents 2	Tutorial	A1.08	ma	15-17
Hooijmaijers Esme	Autonomous Agents 2	Lab	A1.08	wo	11-13
Hooijmaijers Esme	Project Numerical Recipes	Lab	A1.08	ma	13-15
Hooijmaijers Esme	Software engineering	Lecture	C0.110		
Hooijmaijers Esme	Software engineering	Tutorial	A1.04		
Hooijmaijers Esme	Software engineering	Lab	A1.04		
Hooiveld Michal	Data Mining	Lecture	A1.04		
Hooiveld Michal	Data Mining	Lecture	A1.04		
Hooiveld Michal	Data Mining	Tutorial	A1.08	di	11-13
Hooiveld Michal	Data Mining	Lab	A1.08	di	13-15
Hoornstra Catherine	Architectuur en computerorganisatie	Lecture	A1.06	di	11-13
Hoornstra Catherine	Architectuur en computerorganisatie	Lecture	A1.06	di	13-15
Hoornstra Catherine	Calculus 2	Lecture	C0.110	vr	9-11
Hoornstra Catherine	Calculus 2	Tutorial	A1.04	do	13-15
Hoornstra Catherine	Lineaire Algebra	Lecture	A1.10		
Hoornstra Catherine	Lineaire Algebra	Lecture	A1.10		
Hoornstra Catherine	Technology for games	Lecture	A1.04		
Hoornstra Catherine	Technology for games	Lecture	A1.04		
Hoornstra Catherine	Technology for games	Tutorial	A1.08	wo	9-11
Horstink Tea	Compilerbouw	Lecture	C0.110	ma	11-13
Horstink Tea	Compilerbouw	Lecture	C0.110	vr	13-15
Horstink Tea	Compilerbouw	Tutorial	A1.04	ma	9-11
Horstink Tea	Compilerbouw	Lab	A1.04		
Horstink Tea	Programmeren in Java 2	Lab	A1.08		
Hospers Wichard	Collectieve Intelligentie	Lecture	C0.110	wo	11-13
Hospers Wichard	Collectieve Intelligentie	Lecture	C0.110	do	9-11
Hospers Wichard	Collectieve Intelligentie	Lecture	C0.110	do	11-13
Hospers Wichard	Collectieve Intelligentie	Tutorial	A1.08	wo	15-17
Hospers Wichard	Collectieve Intelligentie	Lab	A1.08	vr	15-17
Hospers Wichard	Lineaire Algebra	Lecture	A1.10		
Hospers Wichard	Lineaire Algebra	Lecture	A1.10		
Hospers Wichard	Programmeren in Java 2	Lab	A1.08		
Huibers Kyra	Webprogrammeren en databases	Lecture	A1.04		
Huibers Kyra	Webprogrammeren en databases	Lecture	A1.04		
Huibers Kyra	Webprogrammeren en databases	Tutorial	A1.08	wo	13-15
Huibers Kyra	Webprogrammeren en databases	Lab	A1.08	wo	15-17
Hunting Paulette	Bioinformatica	Lecture	B0.201	di	9-11
Hunting Paulette	Bioinformatica	Lecture	B0.201	wo	13-15
Hunting Paulette	Bioinformatica	Lecture	B0.201	wo	15-17
Hunting Paulette	Bioinformatica	Tutorial	A1.08	do	9-11
Hunting Paulette	Bioinformatica	Lab	A1.08	do	11-13
Hunting Paulette	Reflectie op de digitale cultuur	Lecture	A1.10		
Hunting Paulette	Reflectie op de digitale cultuur	Lecture	A1.10		
Hunting Paulette	Reflectie op de digitale cultuur	Tutorial	A1.08	wo	11-13
Hup Ytje	Heuristieken 1	Lecture	B0.201		
Hup Ytje	Heuristieken 1	Tutorial	A1.06	vr	13-15
IJkema Frdric	Algoritmen en complexiteit	Lecture	B0.201	ma	13-15
IJkema Frdric	Algoritmen en complexiteit	Tutorial	A1.06	ma	15-17
IJkema Frdric	Algoritmen en complexiteit	Lab	A1.06	di	9-11
IJkema Frdric	Moderne Databases	Lecture	A1.10		
IJkema Frdric	Moderne Databases	Tutorial	A1.08		
IJkema Frdric	Moderne Databases	Lab	A1.08		
IJkema Frdric	Software engineering	Lecture	C0.110		
IJkema Frdric	Software engineering	Tutorial	A1.04		
IJkema Frdric	Software engineering	Lab	A1.04		
Imthorn Marnik	Programmeren in Java 2	Lab	A1.08		
Imthorn Marnik	Zoeken sturen en bewegen	Lab	A1.08	do	15-17
Jackson Geartsje	Heuristieken 1	Lecture	B0.201		
Jackson Geartsje	Heuristieken 1	Tutorial	A1.06	vr	13-15
Jacob Rino	Kansrekenen 2	Lecture	C0.110		
Jacob Rino	Kansrekenen 2	Lecture	C0.110		
Jagersma Faya	Calculus 2	Lecture	C0.110	vr	9-11
Jagersma Faya	Calculus 2	Tutorial	A1.04	do	13-15
Jagersma Faya	Databases 2	Lecture	C0.110		
Jagersma Faya	Databases 2	Tutorial	A1.04		
Jagersma Faya	Project Numerical Recipes	Lab	A1.08	ma	13-15
Jak Paulo	Databases 2	Lecture	C0.110		
Jak Paulo	Databases 2	Tutorial	A1.04		
Jama Owen	Bioinformatica	Lecture	B0.201	di	9-11
Jama Owen	Bioinformatica	Lecture	B0.201	wo	13-15
Jama Owen	Bioinformatica	Lecture	B0.201	wo	15-17
Jama Owen	Bioinformatica	Tutorial	A1.08	do	9-11
Jama Owen	Bioinformatica	Lab	A1.08	do	11-13
Jama Owen	Zoeken sturen en bewegen	Lab	A1.08	do	15-17
Janga Le	Compilerbouw	Lecture	C0.110	ma	11-13
Janga Le	Compilerbouw	Lecture	C0.110	vr	13-15
Janga Le	Compilerbouw	Tutorial	A1.04	ma	9-11
Janga Le	Compilerbouw	Lab	A1.04		
Janga Le	Heuristieken 2	Lecture	A1.04	do	15-17
Janga Le	Heuristieken 2	Tutorial	A1.08	vr	11-13
Janga Le	Kansrekenen 2	Lecture	C0.110		
Janga Le	Kansrekenen 2	Lecture	C0.110		
Janga Le	Reflectie op de digitale cultuur	Lecture	A1.10		
Janga Le	Reflectie op de digitale cultuur	Lecture	A1.10		
Janga Le	Reflectie op de digitale cultuur	Tutorial	A1.08	do	13-15
Jankie Kyan	Data Mining	Lecture	A1.04		
Jankie Kyan	Data Mining	Lecture	A1.04		
Jankie Kyan	Data Mining	Tutorial	A1.08	di	11-13
Jankie Kyan	Data Mining	Lab	A1.08	di	13-15
Jankie Kyan	Heuristieken 1	Lecture	B0.201		
Jankie Kyan	Heuristieken 1	Tutorial	A1.06	vr	13-15
Jansema Nikolas	Technology for games	Lecture	A1.04		
Jansema Nikolas	Technology for games	Lecture	A1.04		
Jansema Nikolas	Technology for games	Tutorial	A1.08	wo	9-11
Jongbloed Tamar	Kansrekenen 2	Lecture	C0.110		
Jongbloed Tamar	Kansrekenen 2	Lecture	C0.110		
Jongbloed Tamar	Machine Learning	Lecture	A1.06		
Jongbloed Tamar	Machine Learning	Lecture	A1.06		
Jongbloed Tamar	Programmeren in Java 2	Lab	A1.08		
Jongbloed Tamar	Project Genetic Algorithms	Lab	A1.08	wo	11-13
Jongbloed Tamar	Software engineering	Lecture	C0.110		
Jongbloed Tamar	Software engineering	Tutorial	A1.04		
Jongbloed Tamar	Software engineering	Lab	A1.04		
Jongejan Jenske	Algoritmen en complexiteit	Lecture	B0.201	ma	13-15
Jongejan Jenske	Algoritmen en complexiteit	Tutorial	A1.06	ma	15-17
Jongejan Jenske	Algoritmen en complexiteit	Lab	A1.06	di	9-11
Jongejan Jenske	Calculus 2	Lecture	C0.110	vr	9-11
Jongejan Jenske	Calculus 2	Tutorial	A1.04	do	13-15
Jongejan Jenske	Collectieve Intelligentie	Lecture	C0.110	wo	11-13
Jongejan Jenske	Collectieve Intelligentie	Lecture	C0.110	do	9-11
Jongejan Jenske	Collectieve Intelligentie	Lecture	C0.110	do	11-13
Jongejan Jenske	Collectieve Intelligentie	Tutorial	A1.08	vr	11-13
Jongejan Jenske	Collectieve Intelligentie	Lab	A1.08	do	15-17
Jongejan Jenske	Programmeren in Java 2	Lab	A1.08		
Jonkergouw Aradhna	Technology for games	Lecture	A1.04		
Jonkergouw Aradhna	Technology for games	Lecture	A1.04		
Jonkergouw Aradhna	Technology for games	Tutorial	A1.08	wo	9-11
Joris Gerritjan	Calculus 2	Lecture	C0.110	vr	9-11
Joris Gerritjan	Calculus 2	Tutorial	A1.04	do	13-15
Joris Gerritjan	Informatie- en organisatieontwerp	Lecture	A1.06	vr	15-17
Joris Gerritjan	Informatie- en organisatieontwerp	Lecture	A1.06		
Joris Gerritjan	Informatie- en organisatieontwerp	Tutorial	A1.08	wo	15-17
Joris Gerritjan	Informatie- en organisatieontwerp	Lab	A1.08	do	11-13
Joseph Massae	Lineaire Algebra	Lecture	A1.10		
Joseph Massae	Lineaire Algebra	Lecture	A1.10		
Joseph Massae	Software engineering	Lecture	C0.110		
Joseph Massae	Software engineering	Tutorial	A1.04		
Joseph Massae	Software engineering	Lab	A1.04		
Kalpoe Miko	Programmeren in Java 2	Lab	A1.08		
Kalshoven Chrystel	Compilerbouw practicum	Lab	A1.08	wo	13-15
Kalshoven Chrystel	Kansrekenen 2	Lecture	C0.110		
Kalshoven Chrystel	Kansrekenen 2	Lecture	C0.110		
Kalshoven Chrystel	Lineaire Algebra	Lecture	A1.10		
Kalshoven Chrystel	Lineaire Algebra	Lecture	A1.10		
Kalshoven Chrystel	Netwerken en systeembeveiliging	Lab	A1.08	vr	9-11
Kalshoven Chrystel	Programmeren in Java 2	Lab	A1.08		
Kamp Yaro	Technology for games	Lecture	A1.04		
Kamp Yaro	Technology for games	Lecture	A1.04		
Kamp Yaro	Technology for games	Tutorial	A1.08	wo	9-11
Kamp Yaro	Webprogrammeren en databases	Lecture	A1.04		
Kamp Yaro	Webprogrammeren en databases	Lecture	A1.04		
Kamp Yaro	Webprogrammeren en databases	Tutorial	A1.08	wo	13-15
Kamp Yaro	Webprogrammeren en databases	Lab	A1.08	wo	15-17
Kampers Riana	Programmeren in Java 2	Lab	A1.08		
Kampers Riana	Reflectie op de digitale cultuur	Lecture	A1.10		
Kampers Riana	Reflectie op de digitale cultuur	Lecture	A1.10		
Kampers Riana	Reflectie op de digitale cultuur	Tutorial	A1.08	do	13-15
Kampers Riana	Zoeken sturen en bewegen	Lab	A1.08	do	15-17
Kant Julitte	Databases 2	Lecture	C0.110		
Kant Julitte	Databases 2	Tutorial	A1.04		
Kant Julitte	Lineaire Algebra	Lecture	A1.10		
Kant Julitte	Lineaire Algebra	Lecture	A1.10		
Kant Julitte	Project Numerical Recipes	Lab	A1.08	ma	13-15
Karim Esm	Kansrekenen 2	Lecture	C0.110		
Karim Esm	Kansrekenen 2	Lecture	C0.110		
Karim Esm	Machine Learning	Lecture	A1.06		
Karim Esm	Machine Learning	Lecture	A1.06		
Karim Esm	Project Numerical Recipes	Lab	A1.08	ma	13-15
Karim Esm	Reflectie op de digitale cultuur	Lecture	A1.10		
Karim Esm	Reflectie op de digitale cultuur	Lecture	A1.10		
Karim Esm	Reflectie op de digitale cultuur	Tutorial	A1.08	do	13-15
Keijser Devon	Interactie-ontwerp	Lecture	A1.04	di	15-17
Keijser Devon	Interactie-ontwerp	Lecture	A1.04	di	11-13
Kemps Enya	Databases 2	Lecture	C0.110		
Kemps Enya	Databases 2	Tutorial	A1.04		
Kentie Ceciel	Moderne Databases	Lecture	A1.10		
Kentie Ceciel	Moderne Databases	Tutorial	A1.08		
Kentie Ceciel	Moderne Databases	Lab	A1.08		
Kentie Ceciel	Programmeren in Java 2	Lab	A1.08		
Kentie Ceciel	Reflectie op de digitale cultuur	Lecture	A1.10		
Kentie Ceciel	Reflectie op de digitale cultuur	Lecture	A1.10		
Kentie Ceciel	Reflectie op de digitale cultuur	Tutorial	A1.08	do	13-15
Kersten Thys	Compilerbouw practicum	Lab	A1.08	wo	13-15
Kersten Thys	Informatie- en organisatieontwerp	Lecture	A1.06	vr	15-17
Kersten Thys	Informatie- en organisatieontwerp	Lecture	A1.06		
Kersten Thys	Informatie- en organisatieontwerp	Tutorial	A1.08	wo	15-17
Kersten Thys	Informatie- en organisatieontwerp	Lab	A1.08	do	11-13
Kesteloo Kimmy	Collectieve Intelligentie	Lecture	C0.110	wo	11-13
Kesteloo Kimmy	Collectieve Intelligentie	Lecture	C0.110	do	9-11
Kesteloo Kimmy	Collectieve Intelligentie	Lecture	C0.110	do	11-13
Kesteloo Kimmy	Collectieve Intelligentie	Tutorial	A1.08	vr	11-13
Kesteloo Kimmy	Collectieve Intelligentie	Lab	A1.08	do	15-17
Kesteloo Kimmy	Project Genetic Algorithms	Lab	A1.08		
Keuken Lysbeth	Compilerbouw	Lecture	C0.110	ma	11-13
Keuken Lysbeth	Compilerbouw	Lecture	C0.110	vr	13-15
Keuken Lysbeth	Compilerbouw	Tutorial	A1.04	ma	9-11
Keuken Lysbeth	Compilerbouw	Lab	A1.04		
Keuken Lysbeth	Moderne Databases	Lecture	A1.10		
Keuken Lysbeth	Moderne Databases	Tutorial	A1.08		
Keuken Lysbeth	Moderne Databases	Lab	A1.08		
Keuken Lysbeth	Project Numerical Recipes	Lab	A1.08	ma	13-15
Kienhuis Rahim	Compilerbouw practicum	Lab	A1.08	wo	13-15
Kienhuis Rahim	Kansrekenen 2	Lecture	C0.110		
Kienhuis Rahim	Kansrekenen 2	Lecture	C0.110		
Kienhuis Rahim	Programmeren in Java 2	Lab	A1.08		
Kivits Sezen	Netwerken en systeembeveiliging	Lab	A1.08	vr	9-11
Kivits Sezen	Zoeken sturen en bewegen	Lab	A1.08	do	15-17
Klarenbeek Ylse	Collectieve Intelligentie	Lecture	C0.110	wo	11-13
Klarenbeek Ylse	Collectieve Intelligentie	Lecture	C0.110	do	9-11
Klarenbeek Ylse	Collectieve Intelligentie	Lecture	C0.110	do	11-13
Klarenbeek Ylse	Collectieve Intelligentie	Tutorial	A1.08	vr	11-13
Klarenbeek Ylse	Collectieve Intelligentie	Lab	A1.08	do	15-17
Klarenbeek Ylse	Informatie- en organisatieontwerp	Lecture	A1.06	vr	15-17
Klarenbeek Ylse	Informatie- en organisatieontwerp	Lecture	A1.06		
Klarenbeek Ylse	Informatie- en organisatieontwerp	Tutorial	A1.08	do	13-15
Klarenbeek Ylse	Informatie- en organisatieontwerp	Lab	A1.08		
Klarenbeek Ylse	Programmeren in Java 2	Lab	A1.08		
Klop Adil	Calculus 2	Lecture	C0.110	vr	9-11
Klop Adil	Calculus 2	Tutorial	A1.04	do	13-15
Klop Adil	Heuristieken 2	Lecture	A1.04	do	15-17
Klop Adil	Heuristieken 2	Tutorial	A1.08	vr	11-13
Klop Adil	Programmeren in Java 2	Lab	A1.08	di	11-13
Knibbe Danique	Analysemethoden en -technieken	Lecture	A1.10	ma	13-15
Knibbe Danique	Autonomous Agents 2	Lecture	A1.06	di	15-17
Knibbe Danique	Autonomous Agents 2	Lecture	A1.06	wo	9-11
Knibbe Danique	Autonomous Agents 2	Tutorial	A1.08	ma	15-17
Knibbe Danique	Autonomous Agents 2	Lab	A1.08	wo	11-13
Knibbe Danique	Calculus 2	Lecture	C0.110	vr	9-11
Knibbe Danique	Calculus 2	Tutorial	A1.04	do	13-15
Knibbe Danique	Heuristieken 2	Lecture	A1.04	do	15-17
Knibbe Danique	Heuristieken 2	Tutorial	A1.08	vr	11-13
Knibbe Danique	Lineaire Algebra	Lecture	A1.10		
Knibbe Danique	Lineaire Algebra	Lecture	A1.10		
Knuiman George	Compilerbouw	Lecture	C0.110	ma	11-13
Knuiman George	Compilerbouw	Lecture	C0.110	vr	13-15
Knuiman George	Compilerbouw	Tutorial	A1.04	ma	9-11
Knuiman George	Compilerbouw	Lab	A1.04		
Koelemij Evelyn	Calculus 2	Lecture	C0.110	vr	9-11
Koelemij Evelyn	Calculus 2	Tutorial	A1.04	do	13-15
Koelemij Evelyn	Compilerbouw	Lecture	C0.110	ma	11-13
Koelemij Evelyn	Compilerbouw	Lecture	C0.110	vr	13-15
Koelemij Evelyn	Compilerbouw	Tutorial	A1.04	ma	9-11
Koelemij Evelyn	Compilerbouw	Lab	A1.04		
Koelemij Evelyn	Kansrekenen 2	Lecture	C0.110		
Koelemij Evelyn	Kansrekenen 2	Lecture	C0.110		
Kol Djura	Bioinformatica	Lecture	B0.201	di	9-11
Kol Djura	Bioinformatica	Lecture	B0.201	wo	13-15
Kol Djura	Bioinformatica	Lecture	B0.201	wo	15-17
Kol Djura	Bioinformatica	Tutorial	A1.08	do	9-11
Kol Djura	Bioinformatica	Lab	A1.08	do	11-13
Kol Djura	Moderne Databases	Lecture	A1.10		
Kol Djura	Moderne Databases	Tutorial	A1.08		
Kol Djura	Moderne Databases	Lab	A1.08		
Kol Djura	Reflectie op de digitale cultuur	Lecture	A1.10		
Kol Djura	Reflectie op de digitale cultuur	Lecture	A1.10		
Kol Djura	Reflectie op de digitale cultuur	Tutorial	A1.08	do	13-15
Kol Djura	Technology for games	Lecture	A1.04		
Kol Djura	Technology for games	Lecture	A1.04		
Kol Djura	Technology for games	Tutorial	A1.08	wo	9-11
Koning Matz	Collectieve Intelligentie	Lecture	C0.110	wo	11-13
Koning Matz	Collectieve Intelligentie	Lecture	C0.110	do	9-11
Koning Matz	Collectieve Intelligentie	Lecture	C0.110	do	11-13
Koning Matz	Collectieve Intelligentie	Tutorial	A1.08	vr	11-13
Koning Matz	Collectieve Intelligentie	Lab	A1.08	do	15-17
Koning Matz	Software engineering	Lecture	C0.110		
Koning Matz	Software engineering	Tutorial	A1.04		
Koning Matz	Software engineering	Lab	A1.04		
Kooijmans Nuriye	Advanced Heuristics	Lecture	A1.08	ma	9-11
Kooijmans Nuriye	Advanced Heuristics	Lab	A1.08	ma	11-13
Kooijmans Nuriye	Analysemethoden en -technieken	Lecture	A1.10	ma	13-15
Kooijmans Nuriye	Calculus 2	Lecture	C0.110	vr	9-11
Kooijmans Nuriye	Calculus 2	Tutorial	A1.04	do	13-15
Kooijmans Nuriye	Heuristieken 1	Lecture	B0.201		
Kooijmans Nuriye	Heuristieken 1	Tutorial	A1.06	vr	13-15
Kooijmans Nuriye	Moderne Databases	Lecture	A1.10		
Kooijmans Nuriye	Moderne Databases	Tutorial	A1.08		
Kooijmans Nuriye	Moderne Databases	Lab	A1.08		
Kooyman Thijn	Calculus 2	Lecture	C0.110	vr	9-11
Kooyman Thijn	Calculus 2	Tutorial	A1.04	do	13-15
Kooyman Thijn	Compilerbouw	Lecture	C0.110	ma	11-13
Kooyman Thijn	Compilerbouw	Lecture	C0.110	vr	13-15
Kooyman Thijn	Compilerbouw	Tutorial	A1.04	ma	9-11
Kooyman Thijn	Compilerbouw	Lab	A1.04		
Koppers Yee	Calculus 2	Lecture	C0.110	vr	9-11
Koppers Yee	Calculus 2	Tutorial	A1.04	do	13-15
Koppers Yee	Interactie-ontwerp	Lecture	A1.04	di	15-17
Koppers Yee	Interactie-ontwerp	Lecture	A1.04	di	11-13
Kops Eveline	Compilerbouw practicum	Lab	A1.08	wo	13-15
Korbee Titia	Collectieve Intelligentie	Lecture	C0.110	wo	11-13
Korbee Titia	Collectieve Intelligentie	Lecture	C0.110	do	9-11
Korbee Titia	Collectieve Intelligentie	Lecture	C0.110	do	11-13
Korbee Titia	Collectieve Intelligentie	Tutorial	A1.08	vr	11-13
Korbee Titia	Collectieve Intelligentie	Lab	A1.08	do	15-17
Korbee Titia	Compilerbouw	Lecture	C0.110	ma	11-13
Korbee Titia	Compilerbouw	Lecture	C0.110	vr	13-15
Korbee Titia	Compilerbouw	Tutorial	A1.04	ma	9-11
Korbee Titia	Compilerbouw	Lab	A1.04		
Korbee Titia	Netwerken en systeembeveiliging	Lab	A1.08	vr	9-11
Korbee Titia	Programmeren in Java 2	Lab	A1.08	di	11-13
Korbee Titia	Project Numerical Recipes	Lab	A1.08	ma	13-15
Korpershoek Djuri	Moderne Databases	Lecture	A1.10		
Korpershoek Djuri	Moderne Databases	Tutorial	A1.08	ma	13-15
Korpershoek Djuri	Moderne Databases	Lab	A1.08	do	15-17
Korte Gineke	Architectuur en computerorganisatie	Lecture	A1.06	di	11-13
Korte Gineke	Architectuur en computerorganisatie	Lecture	A1.06	di	13-15
Kortlever Sharen	Analysemethoden en -technieken	Lecture	A1.10	ma	13-15
Kortlever Sharen	Databases 2	Lecture	C0.110		
Kortlever Sharen	Databases 2	Tutorial	A1.04		
Kortlever Sharen	Kansrekenen 2	Lecture	C0.110		
Kortlever Sharen	Kansrekenen 2	Lecture	C0.110		
Kost Remon	Calculus 2	Lecture	C0.110	vr	9-11
Kost Remon	Calculus 2	Tutorial	A1.04	do	13-15
Kost Remon	Data Mining	Lecture	A1.04		
Kost Remon	Data Mining	Lecture	A1.04		
Kost Remon	Data Mining	Tutorial	A1.08	di	11-13
Kost Remon	Data Mining	Lab	A1.08	di	13-15
Koudijs Cherissa	Lineaire Algebra	Lecture	A1.10		
